epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants,vaccinated_third,vaccinated_third_per_100_inhabitants
12,2020-03-18,Brazil,PB,TOTAL,0,0,1,1,0,0,0.0,0.02489,0.0,,,,,,,,,,,,
12,2020-03-19,Brazil,PB,TOTAL,0,0,0,1,0,1,0.0,0.02489,0.0,,,,,,,,,,,,
12,2020-03-20,Brazil,PB,TOTAL,0,0,0,1,0,1,0.0,0.02489,0.0,,,,,,,,,,,,
12,2020-03-21,Brazil,PB,TOTAL,0,0,0,1,0,1,0.0,0.02489,0.0,,,,,,,,,,,,
13,2020-03-22,Brazil,PB,TOTAL,0,0,0,1,0,1,0.0,0.02489,0.0,,,,,,,,,,,,
13,2020-03-23,Brazil,PB,TOTAL,0,0,1,2,0,2,0.0,0.04977,0.0,,206.0,,,,,,,,,,
13,2020-03-24,Brazil,PB,TOTAL,0,0,1,3,0,3,0.0,0.07466,0.0,,206.0,,,,,,,,,,
13,2020-03-25,Brazil,PB,TOTAL,0,0,2,5,0,3,0.0,0.12444,0.0,,206.0,,,,,,,,,,
13,2020-03-26,Brazil,PB,TOTAL,0,0,1,6,0,5,0.0,0.14932,0.0,,206.0,,,,,,,,,,
13,2020-03-27,Brazil,PB,TOTAL,0,0,4,10,0,9,0.0,0.24887,0.0,,206.0,,,,,,,,,,
13,2020-03-28,Brazil,PB,TOTAL,0,0,4,14,0,14,0.0,0.34842,0.0,3.0,206.0,,,,,,,,,,
14,2020-03-29,Brazil,PB,TOTAL,0,0,0,14,0,14,0.0,0.34842,0.0,3.0,206.0,,,,,,,,,,
14,2020-03-30,Brazil,PB,TOTAL,0,0,3,17,0,15,0.0,0.42308,0.0,3.0,90.0,,,,,,,,,,
14,2020-03-31,Brazil,PB,TOTAL,1,1,1,18,0,17,0.02489,0.44797,0.05556,3.0,90.0,,,,,,,,,,
14,2020-04-01,Brazil,PB,TOTAL,0,1,3,21,1,20,0.02489,0.52263,0.04762,3.0,90.0,,,,,,,,,,
14,2020-04-02,Brazil,PB,TOTAL,0,1,8,29,1,21,0.02489,0.72173,0.03448,3.0,90.0,,,,,,,,,,
14,2020-04-03,Brazil,PB,TOTAL,0,1,3,32,1,29,0.02489,0.79639,0.03125,3.0,90.0,,,,,,,,,,
14,2020-04-04,Brazil,PB,TOTAL,2,3,2,34,2,32,0.07466,0.84617,0.08824,3.0,90.0,,,,,,,,,,
15,2020-04-05,Brazil,PB,TOTAL,1,4,1,35,4,34,0.09955,0.87105,0.11429,3.0,90.0,,,,,,,,,,
15,2020-04-06,Brazil,PB,TOTAL,0,4,1,36,4,35,0.09955,0.89594,0.11111,9.0,90.0,,,,,,,,,,
15,2020-04-07,Brazil,PB,TOTAL,0,4,5,41,4,36,0.09955,1.02038,0.09756,9.0,1091.0,,,,,,,,,,
15,2020-04-08,Brazil,PB,TOTAL,3,7,14,55,4,41,0.17421,1.3688,0.12727,9.0,1091.0,,,,,,,,,,
15,2020-04-09,Brazil,PB,TOTAL,4,11,24,79,7,55,0.27376,1.96609,0.13924,9.0,1091.0,,,,,,,,,,
15,2020-04-10,Brazil,PB,TOTAL,0,11,6,85,11,79,0.27376,2.11541,0.12941,30.0,1091.0,,,,,,,,,,
15,2020-04-11,Brazil,PB,TOTAL,2,13,16,101,11,85,0.32353,2.51361,0.12871,30.0,1091.0,,,,,,,,,,
16,2020-04-12,Brazil,PB,TOTAL,0,13,10,111,13,101,0.32353,2.76248,0.11712,43.0,1091.0,,,,,,,,,,
16,2020-04-13,Brazil,PB,TOTAL,3,16,25,136,13,111,0.3982,3.38466,0.11765,52.0,1091.0,,,,,,,,,,
16,2020-04-14,Brazil,PB,TOTAL,5,21,16,152,16,136,0.52263,3.78286,0.13816,52.0,1091.0,,,,,,,,,,
16,2020-04-15,Brazil,PB,TOTAL,3,24,13,165,21,151,0.59729,4.10639,0.14545,80.0,1091.0,,,,,,,,,,
16,2020-04-16,Brazil,PB,TOTAL,2,26,30,195,24,165,0.64707,4.85301,0.13333,80.0,1091.0,,,,,,,,,,
16,2020-04-17,Brazil,PB,TOTAL,2,28,10,205,26,195,0.69684,5.10188,0.13659,90.0,1091.0,,,,,,,,,,
16,2020-04-18,Brazil,PB,TOTAL,1,29,31,236,26,205,0.72173,5.87338,0.12288,90.0,148.0,,,,,,,,,,
17,2020-04-19,Brazil,PB,TOTAL,3,32,9,245,29,236,0.79639,6.09737,0.13061,99.0,163.0,,,,,,,,,,
17,2020-04-20,Brazil,PB,TOTAL,1,33,18,263,32,245,0.82128,6.54534,0.12548,116.0,163.0,,,,,,,,,,
17,2020-04-21,Brazil,PB,TOTAL,6,39,38,301,33,263,0.9706,7.49105,0.12957,116.0,115.0,,,,,,,,,,
17,2020-04-22,Brazil,PB,TOTAL,1,40,44,345,39,301,0.99549,8.58609,0.11594,116.0,148.0,,,,,,,,,,
17,2020-04-23,Brazil,PB,TOTAL,4,44,41,386,40,345,1.09504,9.60647,0.11399,116.0,148.0,,,,,,,,,,
17,2020-04-24,Brazil,PB,TOTAL,2,46,61,447,44,386,1.14481,11.12459,0.10291,117.0,148.0,,,,,,,,,,
17,2020-04-25,Brazil,PB,TOTAL,3,49,52,499,46,447,1.21947,12.41872,0.0982,117.0,148.0,,,,,,,,,,
18,2020-04-26,Brazil,PB,TOTAL,1,50,44,543,49,499,1.24436,13.51376,0.09208,119.0,148.0,1881.0,46.81286,,,,,,,,
18,2020-04-27,Brazil,PB,TOTAL,3,53,90,633,50,543,1.31902,15.75361,0.08373,119.0,148.0,2115.0,52.63646,,,,,,,,
18,2020-04-28,Brazil,PB,TOTAL,4,57,65,698,53,633,1.41857,17.37128,0.08166,149.0,148.0,2115.0,52.63646,,,,,,,,
18,2020-04-29,Brazil,PB,TOTAL,5,62,116,814,58,699,1.54301,20.25819,0.07617,152.0,148.0,2115.0,52.63646,,,,,,,,
18,2020-04-30,Brazil,PB,TOTAL,5,67,112,926,62,814,1.66744,23.04556,0.07235,156.0,148.0,3639.0,90.56458,,,,,,,,
18,2020-05-01,Brazil,PB,TOTAL,7,74,108,1034,67,926,1.84165,25.73338,0.07157,177.0,148.0,3639.0,90.56458,,,,,,,,
18,2020-05-02,Brazil,PB,TOTAL,2,76,135,1169,74,1034,1.89143,29.09316,0.06501,177.0,148.0,3639.0,90.56458,,,,,,,,
19,2020-05-03,Brazil,PB,TOTAL,3,79,50,1219,76,1169,1.96609,30.33752,0.06481,227.0,148.0,3176.0,79.0418,,,,,,,,
19,2020-05-04,Brazil,PB,TOTAL,6,85,142,1361,79,1219,2.11541,33.8715,0.06245,227.0,148.0,3176.0,79.0418,,,,,,,,
19,2020-05-05,Brazil,PB,TOTAL,7,92,132,1493,85,1361,2.28962,37.15662,0.06162,310.0,148.0,3176.0,79.0418,,,,,,,,
19,2020-05-06,Brazil,PB,TOTAL,9,101,164,1657,92,1493,2.51361,41.23812,0.06095,320.0,148.0,3904.0,97.1597,,,,,,,,
19,2020-05-07,Brazil,PB,TOTAL,10,111,192,1849,101,1657,2.76248,46.01646,0.06003,490.0,148.0,3904.0,97.1597,,,,,,,,
19,2020-05-08,Brazil,PB,TOTAL,3,114,182,2031,114,2031,2.83714,50.54594,0.05613,490.0,148.0,3904.0,97.1597,,,,,,,,
19,2020-05-09,Brazil,PB,TOTAL,10,124,125,2156,124,2156,3.08601,53.65684,0.05751,490.0,148.0,3904.0,97.1597,,,,,,,,
20,2020-05-10,Brazil,PB,TOTAL,11,135,185,2341,135,2341,3.35977,58.26098,0.05767,537.0,148.0,4867.0,121.12609,,,,,,,,
20,2020-05-11,Brazil,PB,TOTAL,4,139,184,2525,139,2525,3.45932,62.84022,0.05505,537.0,148.0,4867.0,121.12609,,,,,,,,
20,2020-05-12,Brazil,PB,TOTAL,15,154,252,2777,154,2777,3.83263,69.1118,0.05546,537.0,148.0,4867.0,121.12609,,,,,,,,
20,2020-05-13,Brazil,PB,TOTAL,3,157,268,3045,157,3045,3.90729,75.78158,0.05156,601.0,148.0,4867.0,121.12609,,,,,,,,
20,2020-05-14,Brazil,PB,TOTAL,3,160,316,3361,160,3361,3.98195,83.64594,0.0476,731.0,148.0,7594.0,188.99353,,,,,,,,
20,2020-05-15,Brazil,PB,TOTAL,10,170,378,3739,170,3739,4.23083,93.05331,0.04547,731.0,148.0,7594.0,188.99353,,,,,,,,
20,2020-05-16,Brazil,PB,TOTAL,13,183,324,4063,183,4063,4.55436,101.11676,0.04504,731.0,148.0,7594.0,188.99353,,,,,,,,
21,2020-05-17,Brazil,PB,TOTAL,11,194,284,4347,194,4347,4.82812,108.18473,0.04463,1171.0,148.0,7594.0,188.99353,,,,,,,,
21,2020-05-18,Brazil,PB,TOTAL,13,207,439,4786,207,4786,5.15165,119.11022,0.04325,1462.0,148.0,10142.0,252.40616,,,,,,,,
21,2020-05-19,Brazil,PB,TOTAL,12,219,514,5300,219,5300,5.4503,131.90225,0.04132,1747.0,148.0,10142.0,252.40616,,,,,,,,
21,2020-05-20,Brazil,PB,TOTAL,11,230,538,5838,230,5838,5.72406,145.29157,0.0394,1847.0,148.0,10142.0,252.40616,,,,,,,,
21,2020-05-21,Brazil,PB,TOTAL,15,245,400,6238,245,6238,6.09737,155.24646,0.03928,1997.0,148.0,10142.0,252.40616,,,,,,,,
21,2020-05-22,Brazil,PB,TOTAL,3,248,644,6882,248,6882,6.17203,171.27383,0.03604,2003.0,148.0,13411.0,333.76247,,,,,,,,
